# day	row_count	first_seq	last_seq	net_amount	sha256	note
2026-08-30	24107			24910483.16	37bbe413741f6f1722590676dc96ef3336ca3134625619e4d2151c83aedbce0d	original
2026-08-31	56327	3	42284	16554744.01	cb75ee0e0b53293aa706fd210028ef64de9e3c56ae2a443fb804d40a3ebe2575	original
2026-09-01	90734	42285	153806	44886687.51	6c82892b5f6a246239ac7a5fd9bfdc3a3563d069417e96e225141b29774de035	original
2026-09-02	169076	153873	343671	3134635.29	af234dd6c3ee09a377d5c8b0995b7984587ffea1f542c05b643b8b94a92e3c7c	original
2026-09-03	527563	343672	949978	7849894.02	e1fc2a78275e1f261e4e65104257d627b4e8897bf30d69e5d57bfb7ef5a05aa3	original
2026-09-04	392608	949981	1452934	6813942.71	41e1366343c25a71456c9887d4cc71f1272eb2424026f60842299bf832e01f80	original
2026-09-05	225648	1452935	1816993	3511958.30	bff52a3bde6a36f74f0ad59ffa2622c238cdfa96e771246c542625004961c5fd	original
2026-09-06	263705	1816994	2129141	5413314.66	fc3d2e24b90c10e7c84012c310397d5430b8e8127987e932cc2d868218ff3a28	original
2026-03-19	5			20065000.00	1a18584b37d06fef1689433d6fa4f29e0fe951f5556203bd4a63c18595580fe0	original
2026-03-20	19			5569.00	d76b2205ad6c79a9f5d1b2f3b3c46c478f1c311a1a6818a9a202598aa51155cb	original
2026-03-22	22			4603.00	0ac1db561883ab7bcb474b7ed1f91728f1275946e5d4bb9a90a6807eb7ccd247	original
2026-03-23	144			50311.00	3f049c1207da82a5f7bea4d10c5a113b86134ee52d461759a7c837791bd26aab	original
2026-03-24	3475			248805445.19	2b0535e8c6ab1f9d8f49cfc70b809a45b75207cfbead0540eadeb9fde238f113	original
2026-03-25	3539			1030104.30	03d2b4408b0ff58d1bb6161fd90233d0f5edaa1a1c2b57cde3c4530717c27208	original
2026-03-26	12438			3612706.90	58bb85a8cb929c5f2a64a72221bd370e6b32fb1e2c5daa349589c065e436d839	original
2026-03-27	21373			5965066.40	7fd04e51f7966a8f87ee5f3867c9a3810e553bee94526ce5533948bbeea53c3f	original
2026-03-29	2587			657363.50	12e43be6e032e348ec29a29f1fa68e56784d60dd798505263d53e14068b09839	original
2026-03-30	17823			4544783.70	3bc3ed2b6b9e7f670efc3e654c10c0dba1949cdda70400825ed024ad1f2735da	original
2026-03-31	756			188787.20	7fdccbf7606596e2269fd6b8c5251b090b3de2385f687f270b8c8ba694823b21	original
2026-04-01	1914			466696.10	42d4f30ef4f672b7da1fdfd7b8cedf209443f774c3774b60f93a53f66c5b4341	original
2026-04-02	4707			1104969.40	a63fe1420b0f0d4b90716f711a54efd287a96d131174540ad809c7046490a223	original
2026-04-03	2737			630543.90	0ae910a41991009d62ad2de37c51d8962f66d2460856d6a787053c34c188dd02	original
2026-04-09	4			10020000.00	448e75fc2c0d94e6352dc2ca552ac229f0855c7805c02c727b28e2508307417e	original
2026-04-13	4355			1023046.10	d56e0b46fafe9c9d3e95d73ccd6354afd50083ec8f9efd027997baa40b5cb060	original
2026-04-14	11219			2595520.00	3f528d81436b84bd2fc65d019ce9c3c166ced3ee80d387b88bde65350d22b571	original
2026-04-15	105			24158.00	54fc0f0e0011f2f6b642b7c7a21dad483a6b23d7122c512ac85a61923cbead61	original
2026-04-16	124			28794.00	ea6b5ffbd461760581e8a19945b2ff0dfaaf85979094132a20955f06cff6738f	original
2026-04-17	389			88896.00	aa7d82f0c6bb817ed027e7c86769e637210e9a34493e45a1f37c2f16f37d793d	original
2026-04-18	30			6812.00	a26deeb78f3276c6def773133702a855424fc9bb97b8cc56cad557cb91340495	original
2026-04-19	94			21210.00	6ee7b57eb7d4c967b9accf1fb8ec92dfd01ff9f33851004418b225e032ef4c80	original
2026-04-20	586			825627844.84	058168b5093f40e8de285f81e325ac4c4d6d74557dfb479b1fa7a5e3775b4616	original
2026-05-03	34			2294643.85	14000ab86f296ff4e62cb0905364144234ccb0f477bd430030a86c2e1987889f	original
2026-08-27	33922			5965000.28	2a6e1c1b10750332cbdf49fda14c9df2ab810a79df16d40e2a38d54d673446a5	original
2026-08-28	25467			12006669.55	c76b967f5e188721d3e9e62c9c70b24824f5144d805b9ac498749d10bc0822fb	original
2026-08-29	28644			14665360.43	774dd44514e9893607cbade2f1f4dfb79ed234a7b411511847b8c65cff44c477	original
2026-09-07	336553	2129142	2469470	7005763.66	928d3ca4679a5f1c4d30ec03f1cfaf0c733500dd68a73f09e6dbb094fbf1dffc	original
