file,line,kind,target,dynamic,file_kind,status
.github/scripts/estate-digest.mjs,40,HTTP,`https://api.github.com${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
.github/scripts/estate-digest.mjs,56,HTTP,`${SB_URL}${pathAndQuery}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
.github/scripts/estate-digest.mjs,82,HTTP,https://smarter.poker/hub/club-arena/build-info.json,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
.github/scripts/label-queued-pull-requests.mjs,77,HTTP,`${API}${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
.github/scripts/schedule-liveness.mjs,68,Table Candidate,{ length: max },True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
.github/scripts/schedule-liveness.mjs,121,HTTP,url,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
.github/scripts/schedule-liveness.mjs,131,HTTP,`https://api.github.com/repos/${REPO}${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/audio/build-throwable-cues.mjs,138,HTTP,src.url,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/audio/build-throwable-cues.mjs,143,Table Candidate,await (await fetch(m[0])).arrayBuffer(),True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/audio/build-throwable-cues.mjs,143,HTTP,m[0],True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/audio/build-throwable-cues.mjs,159,HTTP,src.url,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/audio/build-throwable-cues.mjs,171,HTTP,src.zip,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/audio/build-throwable-cues.mjs,176,Table Candidate,await zipRes.arrayBuffer(),True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/anchor-ledger-days.mjs,45,HTTP,`${url}/rest/v1/${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/apply-main-ruleset.mjs,70,HTTP,`https://api.github.com/repos/${OWNER}/${REPO}${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/audit-live-definer-exposure.mjs,138,HTTP,`${URL_}/rest/v1/rpc/fn_definer_exposure_audit`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/audit-second-writer.mjs,214,HTTP,`${url}/rest/v1/rpc/fn_ca_second_writer_check`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/backfill-unrecorded-migrations.mjs,58,HTTP,url,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/certify-club-create.mjs,46,Table Candidate,profiles,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/certify-club-create.mjs,60,HTTP,assetUrl,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ci/certify-club-create.mjs,64,Table Candidate,club-assets,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
