forced_rls,kind,name,policy_count,rls,trigger_count,status
False,r,action_audit_logs,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,ad_event,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,agent_commissions,3,True,5,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,agents,3,True,11,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,anti_cheat_events,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,arena_sessions,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,audit_trail,3,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,autofix_attempts,1,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,avatar_unlocks,3,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,bbj_contributions,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,bbj_drill_arms,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,bbj_near_misses,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,bbj_notify_thresholds,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,bbj_payout_recipients,1,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,bbj_payouts,1,True,2,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,bbj_pools,1,True,4,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,bbj_stakes_tiers,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,bbj_unclaimed_shares,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,bbj_winners,1,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,blacklists,3,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,bomb_pot_award_units,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,bus_event_log,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,ca_hand_facts,1,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,ca_hand_flags,2,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,ca_hand_notes,4,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,ca_hand_transfers,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,ca_stat_distribution,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,cash_games,1,True,2,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,cash_rejoin_constraints,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,cash_seat_moves,1,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,cashout_requests,5,True,2,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,chip_ledger,1,True,11,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,chip_requests,1,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,chip_transactions,2,True,3,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,client_crash_log,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,client_shell_telemetry,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,club_announcements,2,True,2,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,club_challenges,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,club_chat,4,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,club_diamond_wallets,1,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,club_members,7,True,37,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,club_shop_inventory,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,club_shop_items,1,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,clubs,3,True,28,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,commission_rate_audit,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,content_authors,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,conversations,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,credit_invoices,1,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,credit_requests,4,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,customization_operations,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,daemon_state,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,daily_challenge_dashboard_revisions,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,diamond_transactions,2,True,5,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,disputes,1,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,engine_maintenance_break_log,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,engine_presence_parked,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,engine_recovery_events,0,True,1,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,favorite_tables,3,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,feature_pricing,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,feature_purchases,1,True,2,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,financial_alerts,1,True,2,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,financial_health_checks,2,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,flash_pools,1,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,friend_challenges,3,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,friendships,3,True,2,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,gto_agg_progress,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,gto_postflop_compact,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,gto_postflop_v31,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,hand_atomic_commits,0,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,hand_discards,4,True,0,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
False,r,hand_history,2,True,8,Metadata Observed; Policies/Constraints/Indirect Dependencies Need Review
