anon_execute,arguments,authenticated_execute,definition_hash,name,returns,security_definer,service_execute,status
False,p_friendship_id uuid,True,a94b16ab213b228f8e0f4a51e1ef6e10,accept_friendship,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user_id uuid, p_amount numeric",False,a82d0ebaf339c09289968dd70463db8e,add_to_promo_wallet,void,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_from_user_id uuid, p_to_user_id uuid, p_amount numeric, p_category text, p_description text, p_related_entity_id uuid, p_idempotency_key uuid",True,b84c6a9411ef044851ab7c9adf011f5d,atomic_chip_transfer,void,False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user_id uuid, p_amount numeric, p_category text, p_description text, p_table_id uuid, p_hand_id uuid, p_related_entity_id uuid, p_idempotency_key text",False,ca0a0d6fe1f01c1f2bed49e7db1fd7e8,atomic_credit_wallet_and_log,boolean,False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user_id uuid, p_amount numeric, p_category text, p_description text, p_table_id uuid, p_hand_id uuid, p_related_entity_id uuid",False,7a39ff1827644433adc5120c6913081e,atomic_deduct_wallet_and_log,boolean,False,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_table_id uuid, p_club_id uuid, p_hand_id uuid, p_hand_number integer, p_rake numeric, p_bbj numeric, p_pot numeric, p_num_players integer, p_contributions jsonb, p_tournament_id uuid, p_returned_uncalled jsonb, p_rake_method text",False,1b9bc9a006f45908bf65eb70a12e5f00,atomic_distribute_rake,"TABLE(applied boolean, already_processed boolean, recovered boolean, rake_record_id uuid, club_net_credit numeric, spendable_route text, spendable_amount numeric, union_id_out uuid)",True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user_id uuid, p_table_id uuid, p_seat_number integer, p_leave_mode text",True,0b4260da309101634851da9c63df5180,atomic_seat_cashout_locked,jsonb,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user_id uuid, p_table_id uuid, p_amount numeric, p_apply_to_seat boolean, p_idempotency_key text",False,6f3a9265b00f426a2c0ff9a4cf3079c2,atomic_table_addon,numeric,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user_id uuid, p_table_id uuid, p_seat_number integer, p_amount numeric, p_auto_rebuy boolean, p_club_id uuid, p_idempotency_key uuid",True,69f38ba117d748862bb5e22905d19a6c,atomic_table_buyin,void,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
False,"p_user_id uuid, p_table_id uuid, p_amount numeric, p_idempotency_key uuid",True,2a05339c9329ce9fcbefbc1ab72901f5,atomic_table_rebuy,numeric,True,True,Signature/Hash/Grants Observed; Body And Caller Contract Need Individual Review
