file,line,specifier,binding,resolved_file,resolution
.github/scripts/deploy-ship-rate.mjs,31,node:process,process,,External Or Requires Dynamic/Alias Review
.github/scripts/deploy-ship-rate.mjs,45,pg,dynamic import,,External Or Requires Dynamic/Alias Review
.github/scripts/estate-digest.mjs,23,node:child_process,{ execFileSync },,External Or Requires Dynamic/Alias Review
.github/scripts/estate-digest.mjs,24,../../scripts/ci/supabase-auth-headers.mjs,{ supabaseServerHeaders },scripts/ci/supabase-auth-headers.mjs,Resolved Local File
.github/scripts/label-queued-pull-requests.mjs,210,node:fs,dynamic import,,External Or Requires Dynamic/Alias Review
.github/scripts/schedule-liveness.mjs,38,node:fs,"{ readdirSync, readFileSync }",,External Or Requires Dynamic/Alias Review
.github/scripts/schedule-liveness.mjs,39,node:path,{ join },,External Or Requires Dynamic/Alias Review
.github/scripts/schedule-liveness.mjs,636,node:fs,dynamic import,,External Or Requires Dynamic/Alias Review
scripts/audio/build-throwable-cues.mjs,32,node:child_process,"{ execFileSync, spawnSync }",,External Or Requires Dynamic/Alias Review
scripts/audio/build-throwable-cues.mjs,33,node:fs,"{ existsSync, mkdirSync, readFileSync, writeFileSync }",,External Or Requires Dynamic/Alias Review
scripts/audio/build-throwable-cues.mjs,34,node:path,"{ dirname, join, resolve }",,External Or Requires Dynamic/Alias Review
scripts/audio/build-throwable-cues.mjs,35,node:url,{ fileURLToPath },,External Or Requires Dynamic/Alias Review
scripts/audio/build-throwable-cues.mjs,36,node:util,{ parseArgs },,External Or Requires Dynamic/Alias Review
scripts/check-club-entry-budgets.mjs,1,node:fs,"{ existsSync, readFileSync, readdirSync, statSync }",,External Or Requires Dynamic/Alias Review
scripts/check-club-entry-budgets.mjs,2,node:zlib,{ gzipSync },,External Or Requires Dynamic/Alias Review
scripts/check-club-entry-budgets.mjs,3,node:path,path,,External Or Requires Dynamic/Alias Review
scripts/ci/anchor-ledger-days.mjs,30,node:fs,"{ readFileSync, writeFileSync, mkdirSync, existsSync }",,External Or Requires Dynamic/Alias Review
scripts/ci/anchor-ledger-days.mjs,31,node:path,{ dirname },,External Or Requires Dynamic/Alias Review
scripts/ci/anchor-ledger-days.mjs,32,./supabase-auth-headers.mjs,{ supabaseServerHeaders },scripts/ci/supabase-auth-headers.mjs,Resolved Local File
