file,line,tag,handlers,label,file_kind,status,suggested_phases
scripts/dev/club-entry-preview.tsx,7,ClubEntryActionBar,onCreate={() => undefined}; onFind={() => undefined}; onJoin={() => undefined},,development-or-preview,"Requires Interaction, Error, Authorization And Accessibility Verification",10;12
scripts/dev/lobby-card-shot.tsx,291,LobbyTable,onSelect={() => {}}; onActivate={() => {}},,development-or-preview,"Requires Interaction, Error, Authorization And Accessibility Verification",8;12
src/App.tsx,531,a,,,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",12
src/App.tsx,538,IntroVideo,onComplete={handleIntroComplete},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",12
src/components/ClubLogoSelector.tsx,167,button,onClick={() => setActiveTab('preset')},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",10;11
src/components/ClubLogoSelector.tsx,173,button,onClick={() => setActiveTab('upload')},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",10;11
src/components/ClubLogoSelector.tsx,185,input,onChange={handleFileSelect},type=file,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",10;11
src/components/ClubLogoSelector.tsx,192,button,onClick={triggerFileInput},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",10;11
src/components/ClubLogoSelector.tsx,200,button,onClick={() => handlePresetSelect(preset)},title={preset.name},runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",10;11
src/components/IntroVideo.tsx,86,video,onEnded={handleVideoEnd},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/IntroVideo.tsx,97,button,onClick={handleSkip},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/Shell.tsx,30,button,"onClick={() => {
        navigate('/marketplace?tab=diamonds');
      }}",title={isVIP ? 'VIP Gold Active' : 'Get VIP Benefits'},runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/Shell.tsx,127,button,onClick={() => setMobileMenuOpen(!mobileMenuOpen)},aria-label=Menu,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/Shell.tsx,188,button,onClick={() => navigate('/notifications')},"title=Notifications; aria-label={
                unreadCount > 0 ? `Notifications (${unreadCount} Unread)` : 'Notifications'
              }",runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/Shell.tsx,200,div,"onKeyDown={(e) => {
                if (e.key === 'Enter' || e.key === ' ') e.currentTarget.click();
              }}; onClick={() => {
                navigate('/marketplace?tab=diamonds');
              }}",aria-label=View Diamond Balance,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/Shell.tsx,232,button,onClick={() => navigate('/profile')},aria-label=Open Profile,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/Shell.tsx,242,button,onClick={() => setMobileMenuOpen(!mobileMenuOpen)},aria-label={mobileMenuOpen ? 'Close Menu' : 'Open Menu'},runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/Shell.tsx,263,NavLink,onClick={() => setMobileMenuOpen(false)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/Shell.tsx,267,NavLink,onClick={() => setMobileMenuOpen(false)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/Shell.tsx,271,NavLink,onClick={() => setMobileMenuOpen(false)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/Shell.tsx,275,NavLink,onClick={() => setMobileMenuOpen(false)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/Shell.tsx,278,NavLink,onClick={() => setMobileMenuOpen(false)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/Shell.tsx,292,InAppAlerts,onDismiss={dismissAlert},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/accordions/Accordion.tsx,30,button,onClick={() => toggle(item.id)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/accordions/Collapsible.tsx,19,button,onClick={() => setIsOpen(!isOpen)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/achievements/AchievementBadge.tsx,57,div,onClick={onClick},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/achievements/AchievementShareCard.tsx,209,div,onClick={onClose},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/achievements/AchievementShareCard.tsx,210,div,onClick={(e) => e.stopPropagation()},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/achievements/AchievementShareCard.tsx,213,button,onClick={onClose},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/achievements/AchievementShareCard.tsx,235,button,onClick={handleShare},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/AdminCommandPalette.tsx,218,div,onClick={() => setIsOpen(false)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/AdminCommandPalette.tsx,276,input,"onChange={(e) => {
              setSearch(e.target.value);
              setSelectedIndex(0);
            }}; onKeyDown={handleKeyDown}",,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/AdminCommandPalette.tsx,340,div,"onClick={() => {
                      action.action();
                      setIsOpen(false);
                    }}; onMouseEnter={() => setSelectedIndex(idx)}",,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/AdminTableHeatmap.tsx,162,button,"onClick={() => {
                haptic('light');
                setViewMode(mode);
              }}",,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",4;11
src/components/admin/AdminTableHeatmap.tsx,198,div,"onClick={() => {
                haptic('medium');
                onAction?.({ action: 'manage', table: t });
              }}",,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",4;11
src/components/admin/ArenaLedger.tsx,221,button,onClick={() => setIsLive(!isLive)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/ArenaLedger.tsx,227,button,onClick={fetchEntries},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/ArenaLedger.tsx,235,input,onChange={(e) => setSearchQuery(e.target.value)},type=text,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/ArenaLedger.tsx,242,select,onChange={(e) => setFilter(e.target.value)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/AuditLog.tsx,304,button,onClick={() => setFilter(f)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/AuditLog.tsx,310,input,onChange={(e) => setSearch(e.target.value)},type=text,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/AuditLog.tsx,376,button,"onClick={async () => {
                  setLoadingMore(true);
                  await loadAuditLog({ silent: true, limit: loadedLimit + AUDIT_PAGE_SIZE });
                  if (isMounted.current) setLoadingMore(false);
                }}",type=button,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/ClubMemberManagement.tsx,306,button,onClick={() => loadMembers()},type=button,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",10;11
src/components/admin/ClubMemberManagement.tsx,317,input,onChange={(e) => setSearchTerm(e.target.value)},type=text,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",10;11
src/components/admin/ClubMemberManagement.tsx,326,select,onChange={(e) => setRoleFilter(e.target.value)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",10;11
src/components/admin/ClubMemberManagement.tsx,334,select,onChange={(e) => setSortBy(e.target.value as any)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",10;11
src/components/admin/ClubMemberManagement.tsx,383,select,"onChange={(e) => updateRole(member.id, e.target.value as ClubRole)}",,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",10;11
src/components/admin/ClubMemberManagement.tsx,399,button,"onClick={() => toggleBan(member.id, member.isBanned)}",type=button,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",10;11
src/components/admin/ClubMemberManagement.tsx,407,button,onClick={() => kickMember(member)},"type=button; aria-label={`Remove ${member.username} From The Club`}; title={
                    member.chipsAtRisk > 0
                      ? 'Holds Or Owes Chips In This Club. Settle Before Removing.'
                      : 'Remove From Club'
                  }",runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",10;11
src/components/admin/PlayerSearch.tsx,230,button,onClick={() => setSearchType(type)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/PlayerSearch.tsx,240,input,onChange={(e) => setQuery(e.target.value)}; onKeyDown={(e) => e.key === 'Enter' && handleSearch()},type=text,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/PlayerSearch.tsx,247,button,onClick={handleSearch},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/PlayerSearch.tsx,277,div,onClick={() => onPlayerSelect?.(player)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/PlayerSearch.tsx,289,img,"onError={(e) => {
                      (e.target as HTMLImageElement).src = generateDefaultAvatar();
                    }}",,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/PlayerSearch.tsx,315,button,"onClick={(e) => {
                    e.stopPropagation();
                    onViewProfile?.(player.id);
                  }}",,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/PlayerSearch.tsx,325,button,"onClick={(e) => {
                      e.stopPropagation();
                      onBanPlayer?.(player.id);
                    }}",,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/admin/RakeReports.tsx,283,button,onClick={() => void loadRakeData()},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",5;9;11
src/components/admin/RakeReports.tsx,307,button,onClick={() => setPeriod(p)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",5;9;11
src/components/admin/RakeReports.tsx,377,input,"onChange={(e) => setLookupInput(e.target.value)}; onKeyDown={(e) => {
              if (e.key === 'Enter') lookupHand();
            }}",aria-label=Hand ID Or Hand Number,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",5;9;11
src/components/admin/RakeReports.tsx,387,button,onClick={lookupHand},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",5;9;11
src/components/admin/RakeReports.tsx,444,button,onClick={exportCSV},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",5;9;11
src/components/admin/SecurityDashboard.tsx,116,button,onClick={() => setExpanded(!expanded)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",2;6;11
src/components/admin/StatsExport.tsx,270,div,onClick={onClose},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",9;11
src/components/admin/StatsExport.tsx,271,div,onClick={(e) => e.stopPropagation()},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",9;11
src/components/admin/StatsExport.tsx,282,button,onClick={onClose},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",9;11
src/components/admin/StatsExport.tsx,292,button,onClick={() => setDataset('members')},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",9;11
src/components/admin/StatsExport.tsx,298,button,onClick={() => setDataset('hands')},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",9;11
src/components/admin/StatsExport.tsx,311,button,onClick={() => setFormat('csv')},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",9;11
src/components/admin/StatsExport.tsx,314,button,onClick={() => setFormat('json')},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",9;11
src/components/admin/StatsExport.tsx,326,select,onChange={(e) => setDateRange(e.target.value as any)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",9;11
src/components/admin/StatsExport.tsx,342,button,onClick={exportStats},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",9;11
src/components/ads/HouseAdCard.tsx,106,img,onError={() => setImageFailed(true)},,runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
src/components/ads/HouseAdCard.tsx,142,button,onClick={activate},type=button; aria-label={`Smarter Poker: ${ad.headline}${ad.body ? `. ${ad.body}` : ''}`},runtime-or-tooling-source,"Requires Interaction, Error, Authorization And Accessibility Verification",11
